model,cell,in_common,rho_grid,rho_self
catboost,"('GesturePhaseSegmentation', 'covariate_shift')",False,0.0,0.0
catboost,"('GesturePhaseSegmentation', 'label_noise')",False,0.1,0.1
catboost,"('MiceProtein', 'covariate_shift')",True,0.05,0.05
catboost,"('MiceProtein', 'label_noise')",True,0.0,0.05
catboost,"('PhishingWebsites', 'covariate_shift')",False,0.8,0.8
catboost,"('PhishingWebsites', 'label_noise')",False,0.0,0.0
catboost,"('analcatdata_authorship', 'covariate_shift')",True,0.05,0.05
catboost,"('analcatdata_authorship', 'label_noise')",True,0.1,0.1
catboost,"('breast-w', 'covariate_shift')",True,0.1,0.1
catboost,"('breast-w', 'label_noise')",True,0.05,0.05
catboost,"('car', 'covariate_shift')",False,0.8,0.8
catboost,"('car', 'label_noise')",False,0.0,0.05
catboost,"('churn', 'covariate_shift')",False,0.05,0.05
catboost,"('churn', 'label_noise')",False,0.05,0.05
catboost,"('climate-model-simulation-crashes', 'covariate_shift')",False,0.3,0.3
catboost,"('climate-model-simulation-crashes', 'label_noise')",False,0.05,0.05
catboost,"('cmc', 'covariate_shift')",False,0.0,0.05
catboost,"('cmc', 'label_noise')",False,0.0,0.2
catboost,"('cnae-9', 'covariate_shift')",False,0.0,0.3
catboost,"('cnae-9', 'label_noise')",False,0.0,0.05
catboost,"('credit-approval', 'covariate_shift')",False,0.1,0.1
catboost,"('credit-approval', 'label_noise')",False,0.1,0.1
catboost,"('credit-g', 'covariate_shift')",False,0.5,0.6
catboost,"('credit-g', 'label_noise')",False,0.1,0.1
catboost,"('diabetes', 'covariate_shift')",False,0.05,0.1
catboost,"('diabetes', 'label_noise')",False,0.1,0.1
catboost,"('dna', 'covariate_shift')",False,0.8,0.8
catboost,"('dna', 'label_noise')",False,0.05,0.05
catboost,"('dresses-sales', 'covariate_shift')",False,0.0,0.8
catboost,"('dresses-sales', 'label_noise')",False,0.0,0.05
catboost,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
catboost,"('eucalyptus', 'label_noise')",False,0.0,0.1
catboost,"('first-order-theorem-proving', 'covariate_shift')",False,0.0,0.0
catboost,"('first-order-theorem-proving', 'label_noise')",False,0.1,0.1
catboost,"('ilpd', 'covariate_shift')",False,0.0,0.05
catboost,"('ilpd', 'label_noise')",False,0.0,0.1
catboost,"('kc1', 'covariate_shift')",False,0.0,0.0
